dense_model,diffuse_model,dense_fraction,dense_logn,dense_logu,dense_metallicity,diffuse_logn,diffuse_logu,diffuse_metallicity,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_heii1640,yield_heii4686,yield_nii6583,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731
thermal_dense_skin,thermal_skin_z_0p02,0.45,10.0,-1.0,0.2,4.0,-2.0,0.02,2.943802354636601,0.7697742236453559,0.00019667466898048815,0.0001360595445503554,3.857929931899232,0.4467977244582883,0.08297275069346333,4.254549992715295e+41,4.2545499927152947e-13,1.445256671533745e-13,5.575698972387091e-13,6.45737392099437e-14,8.367622114782188e-17,1.1125213322981596e-13,3.5301171585844234e-14,1.925415348529824e-17,3.863305994225785e-17
thermal_dense_skin,thermal_skin_z_0p02,0.46,10.0,-1.0,0.2,4.0,-2.0,0.02,2.944568274961016,0.7681648410341924,0.00019621242647128233,0.0001357397651593325,3.8641415781828043,0.44738820617506553,0.08301565212625202,4.1870352855908075e+41,4.1870352855908074e-13,1.4219521826663166e-13,5.494624551228704e-13,6.361646362698025e-14,8.215483531066509e-17,1.0922936723560939e-13,3.4758946470894875e-14,1.8904077967392733e-17,3.7930640670600754e-17
thermal_dense_skin,thermal_skin_z_0p02,0.47000000000000003,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9453597190563614,0.7665018268483136,0.00019573503260306028,0.00013540950405738323,3.8705602233300733,0.44799836529117076,0.08305995977979616,4.119520578466321e+41,4.1195205784663206e-13,1.398647693798888e-13,5.413550130070316e-13,6.265918804401677e-14,8.06334494735083e-17,1.0720660124140283e-13,3.421672135594552e-14,1.8554002449487225e-17,3.7228221398943665e-17
thermal_dense_skin,thermal_skin_z_0p02,0.48,10.0,-1.0,0.2,4.0,-2.0,0.02,2.946177984384462,0.7647824548087115,0.00019524173001791165,0.00013506823730426723,3.8771963898114246,0.44862920207707896,0.08310574394563933,4.052005871341834e+41,4.052005871341834e-13,1.3753432049314596e-13,5.332475708911929e-13,6.170191246105332e-14,7.911206363635151e-17,1.0518383524719625e-13,3.367449624099616e-14,1.8203926931581718e-17,3.6525802127286577e-17
thermal_dense_skin,thermal_skin_z_0p02,0.49,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9470244578622298,0.7630038106697536,0.00019473171002610436,0.0001347154054483874,3.8840613255817757,0.4492817857681306,0.08315307967950986,3.984491164217347e+41,3.984491164217347e-13,1.3520387160640312e-13,5.251401287753543e-13,6.074463687808985e-14,7.759067779919474e-17,1.0316106925298969e-13,3.31322711260468e-14,1.7853851413676207e-17,3.582338285562949e-17
thermal_dense_skin,thermal_skin_z_0p02,0.5,10.0,-1.0,0.2,4.0,-2.0,0.02,2.947900623706365,0.7611627757355757,0.00019420410818219675,0.00013435041046634384,3.8911670677014487,0.44995726061235936,0.08320204721190856,3.9169764570928605e+41,3.91697645709286e-13,1.3287342271966028e-13,5.170326866595155e-13,5.978736129512637e-14,7.606929196203796e-17,1.0113830325878313e-13,3.259004601109745e-14,1.7503775895770702e-17,3.51209635839724e-17
thermal_dense_skin,thermal_skin_z_0p02,0.51,10.0,-1.0,0.2,4.0,-2.0,0.02,2.948808072118318,0.7592560086108885,0.00019365799939561327,0.0001339726123804301,3.8985265127715927,0.4506568525661122,0.0832527324019037,3.849461749968374e+41,3.8494617499683734e-13,1.3054297383291744e-13,5.089252445436769e-13,5.883008571216292e-14,7.454790612488117e-17,9.911553726457655e-14,3.204782089614809e-14,1.7153700377865195e-17,3.441854431231531e-17
thermal_dense_skin,thermal_skin_z_0p02,0.52,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9497485089164264,0.7572799249615502,0.00019309239251750893,0.00013358132551382555,3.906153495051193,0.4513818767198856,0.08330522723953235,3.781947042843887e+41,3.7819470428438866e-13,1.282125249461746e-13,5.008178024278382e-13,5.787281012919945e-14,7.302652028772439e-17,9.709277127036999e-14,3.150559578119874e-14,1.6803624859959687e-17,3.371612504065822e-17
thermal_dense_skin,thermal_skin_z_0p02,0.53,10.0,-1.0,0.2,4.0,-2.0,0.02,2.950723766237961,0.7552306750269889,0.00019250622433728817,0.0001331758143373869,3.9140628732511513,0.45213374554900787,0.08335963040299263,3.7144323357194e+41,3.7144323357194e-13,1.2588207605943177e-13,4.927103603119995e-13,5.691553454623598e-14,7.15051344505676e-17,9.507000527616341e-14,3.096337066624938e-14,1.645354934205418e-17,3.301370576900113e-17
thermal_dense_skin,thermal_skin_z_0p02,0.54,10.0,-1.0,0.2,4.0,-2.0,0.02,2.95173581445236,0.753104118587642,0.00019189835291227622,0.00013275528885511458,3.9222706271510948,0.45291397809807304,0.08341604787772709,3.6469176285949136e+41,3.646917628594913e-13,1.2355162717268893e-13,4.846029181961608e-13,5.595825896327252e-14,6.998374861341081e-17,9.304723928195685e-14,3.042114555130002e-14,1.6103473824148672e-17,3.2311286497344044e-17
thermal_dense_skin,thermal_skin_z_0p02,0.55,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9527867754486334,0.7508957970449238,0.0001912675501424957,0.00013231889946738269,3.930793965360798,0.45372421022478765,0.0834745936455691,3.579402921470426e+41,3.5794029214704257e-13,1.2122117828594606e-13,4.764954760803222e-13,5.500098338030905e-14,6.846236277625402e-17,9.102447328775028e-14,2.9878920436350666e-14,1.5753398306243164e-17,3.160886722568695e-17
